,artist,current_rank,is_new,last_pos,peak_pos,title,week,weeks_on_chart
0,Cardi B Featuring Megan Thee Stallion,1,0,1,1,WAP,9/5/2020,3
1,Drake Featuring Lil Durk,2,0,2,2,Laugh Now Cry Later,9/5/2020,2
2,DaBaby Featuring Roddy Ricch,3,0,3,1,Rockstar,9/5/2020,19
3,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",4,0,4,2,Whats Poppin,9/5/2020,24
4,24kGoldn Featuring iann dior,5,0,11,5,Mood,9/5/2020,2
5,Pop Smoke Featuring Lil Baby & DaBaby,6,0,5,4,For The Night,9/5/2020,8
6,Pop Smoke Featuring Lil Tjay,7,0,6,6,Mood Swings,9/5/2020,6
7,Megan Thee Stallion Featuring Beyonce,8,0,7,1,Savage,9/5/2020,23
8,DJ Khaled Featuring Drake,9,0,8,3,Popstar,9/5/2020,6
9,Pop Smoke Featuring 50 Cent & Roddy Ricch,10,0,12,6,The Woo,9/5/2020,8
10,Powfu Featuring beabadoobee,11,0,10,9,Death Bed,9/5/2020,23
11,Rod Wave Featuring ATR Son Son,12,0,9,5,Rags2Riches,9/5/2020,6
12,Saweetie,13,0,17,13,Tap In,9/5/2020,5
13,Juice WRLD,14,0,13,3,Wishing Well,9/5/2020,7
14,Lil Baby & 42 Dugg,15,0,15,5,We Paid,9/5/2020,15
15,Megan Thee Stallion,16,0,18,11,Girls In The Hood,9/5/2020,8
16,Lil Baby,17,0,19,13,Emotionally Scarred,9/5/2020,18
17,Juice WRLD & The Weeknd,18,0,14,4,Smile,9/5/2020,3
18,StaySolidRocky,19,0,16,7,Party Girl,9/5/2020,16
19,Lil Baby,20,0,20,3,The Bigger Picture,9/5/2020,11
20,Moneybagg Yo,21,0,22,17,Said Sum,9/5/2020,6
21,DJ Khaled Featuring Drake,22,0,23,5,Greece,9/5/2020,6
22,Money Man Featuring Lil Baby,23,0,25,23,24,9/5/2020,2
23,YoungBoy Never Broke Again,24,0,21,21,Kacey Talk,9/5/2020,2
24,Internet Money & Gunna Featuring Don Toliver & NAV,25,0,24,24,Lemonade,9/5/2020,2
25,Cardi B Featuring Megan Thee Stallion,1,0,1,1,WAP,8/29/2020,2
26,Drake Featuring Lil Durk,2,1,0,2,Laugh Now Cry Later,8/29/2020,1
27,DaBaby Featuring Roddy Ricch,3,0,2,1,Rockstar,8/29/2020,18
28,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",4,0,3,2,Whats Poppin,8/29/2020,23
29,Pop Smoke Featuring Lil Baby & DaBaby,5,0,8,4,For The Night,8/29/2020,7
30,Pop Smoke Featuring Lil Tjay,6,0,7,6,Mood Swings,8/29/2020,5
31,Megan Thee Stallion Featuring Beyonce,7,0,6,1,Savage,8/29/2020,22
32,DJ Khaled Featuring Drake,8,0,9,3,Popstar,8/29/2020,5
33,Rod Wave Featuring ATR Son Son,9,0,5,5,Rags2Riches,8/29/2020,5
34,Powfu Featuring beabadoobee,10,0,10,9,Death Bed,8/29/2020,22
35,24kGoldn Featuring iann dior,11,1,0,11,Mood,8/29/2020,1
36,Pop Smoke Featuring 50 Cent & Roddy Ricch,12,0,12,6,The Woo,8/29/2020,7
37,Juice WRLD,13,0,11,3,Wishing Well,8/29/2020,6
38,Juice WRLD & The Weeknd,14,0,4,4,Smile,8/29/2020,2
39,Lil Baby & 42 Dugg,15,0,13,5,We Paid,8/29/2020,14
40,StaySolidRocky,16,0,14,7,Party Girl,8/29/2020,15
41,Saweetie,17,0,16,16,Tap In,8/29/2020,4
42,Megan Thee Stallion,18,0,15,11,Girls In The Hood,8/29/2020,7
43,Lil Baby,19,0,17,13,Emotionally Scarred,8/29/2020,17
44,Lil Baby,20,0,18,3,The Bigger Picture,8/29/2020,10
45,YoungBoy Never Broke Again,21,1,0,21,Kacey Talk,8/29/2020,1
46,Moneybagg Yo,22,0,19,17,Said Sum,8/29/2020,5
47,DJ Khaled Featuring Drake,23,0,20,5,Greece,8/29/2020,5
48,Internet Money & Gunna Featuring Don Toliver & NAV,24,1,0,24,Lemonade,8/29/2020,1
49,Money Man Featuring Lil Baby,25,1,0,25,24,8/29/2020,1
50,Cardi B Featuring Megan Thee Stallion,1,1,0,1,WAP,8/22/2020,1
51,DaBaby Featuring Roddy Ricch,2,0,1,1,Rockstar,8/22/2020,17
52,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",3,0,2,2,Whats Poppin,8/22/2020,22
53,Juice WRLD & The Weeknd,4,1,0,4,Smile,8/22/2020,1
54,Rod Wave Featuring ATR Son Son,5,0,19,5,Rags2Riches,8/22/2020,4
55,Megan Thee Stallion Featuring Beyonce,6,0,4,1,Savage,8/22/2020,21
56,Pop Smoke Featuring Lil Tjay,7,0,10,7,Mood Swings,8/22/2020,4
57,Pop Smoke Featuring Lil Baby & DaBaby,8,0,7,4,For The Night,8/22/2020,6
58,DJ Khaled Featuring Drake,9,0,5,3,Popstar,8/22/2020,4
59,Powfu Featuring beabadoobee,10,0,9,9,Death Bed,8/22/2020,21
60,Juice WRLD,11,0,8,3,Wishing Well,8/22/2020,5
61,Pop Smoke Featuring 50 Cent & Roddy Ricch,12,0,11,6,The Woo,8/22/2020,6
62,Lil Baby & 42 Dugg,13,0,12,5,We Paid,8/22/2020,13
63,StaySolidRocky,14,0,13,7,Party Girl,8/22/2020,14
64,Megan Thee Stallion,15,0,16,11,Girls In The Hood,8/22/2020,6
65,Saweetie,16,0,18,16,Tap In,8/22/2020,3
66,Lil Baby,17,0,15,13,Emotionally Scarred,8/22/2020,16
67,Lil Baby,18,0,14,3,The Bigger Picture,8/22/2020,9
68,Moneybagg Yo,19,0,17,17,Said Sum,8/22/2020,4
69,DJ Khaled Featuring Drake,20,0,20,5,Greece,8/22/2020,4
70,NLE Choppa Featuring Roddy Ricch,21,0,21,14,Walk Em Down,8/22/2020,18
71,Rod Wave,22,1,0,22,Letter From Houston,8/22/2020,1
72,Rod Wave,23,1,0,23,Girl Of My Dreams,8/22/2020,1
73,Drake,24,0,22,1,Toosie Slide,8/22/2020,18
74,Gunna Featuring Young Thug,25,0,0,13,Dollaz On My Head,8/22/2020,4
75,DaBaby Featuring Roddy Ricch,1,0,1,1,Rockstar,8/15/2020,16
76,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,0,2,2,Whats Poppin,8/15/2020,21
77,Lil Mosey,3,0,4,3,Blueberry Faygo,8/15/2020,25
78,Megan Thee Stallion Featuring Beyonce,4,0,3,1,Savage,8/15/2020,20
79,DJ Khaled Featuring Drake,5,0,5,3,Popstar,8/15/2020,3
80,A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,6,1,0,6,Move Ya Hips,8/15/2020,1
81,Pop Smoke Featuring Lil Baby & DaBaby,7,0,8,4,For The Night,8/15/2020,5
82,Juice WRLD,8,0,6,3,Wishing Well,8/15/2020,4
83,Powfu Featuring beabadoobee,9,0,10,9,Death Bed,8/15/2020,20
84,Pop Smoke Featuring Lil Tjay,10,0,17,10,Mood Swings,8/15/2020,3
85,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,0,11,6,The Woo,8/15/2020,5
86,Lil Baby & 42 Dugg,12,0,9,5,We Paid,8/15/2020,12
87,StaySolidRocky,13,0,7,7,Party Girl,8/15/2020,13
88,Lil Baby,14,0,12,3,The Bigger Picture,8/15/2020,8
89,Lil Baby,15,0,15,13,Emotionally Scarred,8/15/2020,15
90,Megan Thee Stallion,16,0,19,11,Girls In The Hood,8/15/2020,5
91,Moneybagg Yo,17,0,18,17,Said Sum,8/15/2020,3
92,Saweetie,18,0,23,18,Tap In,8/15/2020,2
93,Rod Wave Featuring ATR Son Son,19,0,20,16,Rags2Riches,8/15/2020,3
94,DJ Khaled Featuring Drake,20,0,16,5,Greece,8/15/2020,3
95,NLE Choppa Featuring Roddy Ricch,21,0,21,14,Walk Em Down,8/15/2020,17
96,Drake,22,0,25,1,Toosie Slide,8/15/2020,17
97,Pop Smoke,23,0,0,11,Got It On Me,8/15/2020,3
98,Juice WRLD,24,0,24,5,Conversations,8/15/2020,4
99,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,25,0,22,7,Hate The Other Side,8/15/2020,4
100,DaBaby Featuring Roddy Ricch,1,0,1,1,Rockstar,8/8/2020,15
101,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,0,2,2,Whats Poppin,8/8/2020,20
102,Megan Thee Stallion Featuring Beyonce,3,0,4,1,Savage,8/8/2020,19
103,Lil Mosey,4,0,6,4,Blueberry Faygo,8/8/2020,24
104,DJ Khaled Featuring Drake,5,0,3,3,Popstar,8/8/2020,2
105,Juice WRLD,6,0,7,3,Wishing Well,8/8/2020,3
106,StaySolidRocky,7,0,10,7,Party Girl,8/8/2020,12
107,Pop Smoke Featuring Lil Baby & DaBaby,8,0,9,4,For The Night,8/8/2020,4
108,Lil Baby & 42 Dugg,9,0,8,5,We Paid,8/8/2020,11
109,Powfu Featuring beabadoobee,10,0,11,9,Death Bed,8/8/2020,19
110,Pop Smoke Featuring 50 Cent & Roddy Ricch,11,0,12,6,The Woo,8/8/2020,4
111,Lil Baby,12,0,14,3,The Bigger Picture,8/8/2020,7
112,J. Cole,13,1,0,13,Lion King On Ice,8/8/2020,1
113,J. Cole,14,1,0,14,The Climb Back,8/8/2020,1
114,Lil Baby,15,0,18,13,Emotionally Scarred,8/8/2020,14
115,DJ Khaled Featuring Drake,16,0,5,5,Greece,8/8/2020,2
116,Pop Smoke Featuring Lil Tjay,17,0,0,17,Mood Swings,8/8/2020,2
117,Moneybagg Yo,18,0,19,18,Said Sum,8/8/2020,2
118,Megan Thee Stallion,19,0,21,11,Girls In The Hood,8/8/2020,4
119,Rod Wave Featuring ATR Son Son,20,0,16,16,Rags2Riches,8/8/2020,2
120,NLE Choppa Featuring Roddy Ricch,21,0,22,14,Walk Em Down,8/8/2020,16
121,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,22,0,13,7,Hate The Other Side,8/8/2020,3
122,Saweetie,23,1,0,23,Tap In,8/8/2020,1
123,Juice WRLD,24,0,15,5,Conversations,8/8/2020,3
124,Drake,25,0,20,1,Toosie Slide,8/8/2020,16
125,DaBaby Featuring Roddy Ricch,1,0,1,1,Rockstar,8/1/2020,14
126,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,0,2,2,Whats Poppin,8/1/2020,19
127,DJ Khaled Featuring Drake,3,1,0,3,Popstar,8/1/2020,1
128,Megan Thee Stallion Featuring Beyonce,4,0,4,1,Savage,8/1/2020,18
129,DJ Khaled Featuring Drake,5,1,0,5,Greece,8/1/2020,1
130,Lil Mosey,6,0,9,4,Blueberry Faygo,8/1/2020,23
131,Juice WRLD,7,0,3,3,Wishing Well,8/1/2020,2
132,Lil Baby & 42 Dugg,8,0,15,5,We Paid,8/1/2020,10
133,Pop Smoke Featuring Lil Baby & DaBaby,9,0,16,4,For The Night,8/1/2020,3
134,StaySolidRocky,10,0,14,8,Party Girl,8/1/2020,11
135,Powfu Featuring beabadoobee,11,0,20,9,Death Bed,8/1/2020,18
136,Pop Smoke Featuring 50 Cent & Roddy Ricch,12,0,24,6,The Woo,8/1/2020,3
137,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,13,0,7,7,Hate The Other Side,8/1/2020,2
138,Lil Baby,14,0,22,3,The Bigger Picture,8/1/2020,6
139,Juice WRLD,15,0,5,5,Conversations,8/1/2020,2
140,Rod Wave Featuring ATR Son Son,16,1,0,16,Rags2Riches,8/1/2020,1
141,Juice WRLD X Halsey,17,0,6,6,Life's A Mess,8/1/2020,2
142,Lil Baby,18,0,0,13,Emotionally Scarred,8/1/2020,13
143,Moneybagg Yo,19,1,0,19,Said Sum,8/1/2020,1
144,Drake,20,0,0,1,Toosie Slide,8/1/2020,15
145,Megan Thee Stallion,21,0,0,11,Girls In The Hood,8/1/2020,3
146,NLE Choppa Featuring Roddy Ricch,22,0,0,14,Walk Em Down,8/1/2020,15
147,Juice WRLD,23,0,8,8,Blood On My Jeans,8/1/2020,2
148,Juice WRLD,24,0,11,5,Righteous,8/1/2020,6
149,Pop Smoke,25,0,0,11,Got It On Me,8/1/2020,2
150,DaBaby Featuring Roddy Ricch,1,0,1,1,Rockstar,7/25/2020,13
151,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,0,2,2,Whats Poppin,7/25/2020,18
152,Juice WRLD,3,1,0,3,Wishing Well,7/25/2020,1
153,Megan Thee Stallion Featuring Beyonce,4,0,3,1,Savage,7/25/2020,17
154,Juice WRLD,5,1,0,5,Conversations,7/25/2020,1
155,Juice WRLD X Halsey,6,1,0,6,Life's A Mess,7/25/2020,1
156,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,7,1,0,7,Hate The Other Side,7/25/2020,1
157,Juice WRLD,8,1,0,8,Blood On My Jeans,7/25/2020,1
158,Lil Mosey,9,0,5,4,Blueberry Faygo,7/25/2020,22
159,Juice WRLD,10,1,0,10,Titanic,7/25/2020,1
160,Juice WRLD,11,0,0,5,Righteous,7/25/2020,5
161,Juice WRLD,12,1,0,12,Bad Energy,7/25/2020,1
162,Kid Cudi & Eminem,13,1,0,13,The Adventures Of Moon Man & Slim Shady,7/25/2020,1
163,StaySolidRocky,14,0,14,8,Party Girl,7/25/2020,10
164,Lil Baby & 42 Dugg,15,0,7,5,We Paid,7/25/2020,9
